V in mV,1,2,4,8
-200,0.152,0.101,0.051,0.026781116
-180,0.198,0.104,0.062,0.0269299
-160,0.126,0.078,,0.045745351
-140,0.241,0.139,0.107,0.03523319
-120,0.353,0.198,0.137,0.062048641
-100,0.428,0.268,0.18,0.064869814
-80,0.497,0.324,0.236,0.086351931
-60,0.561,0.396,0.292,0.123839771
-40,0.641,0.471,0.364,0.177327611
0,0.764,0.626,0.514,0.294964235
40,0.858,0.751,0.679,0.449934192
60,0.901,0.821,0.746,0.524755365
80,0.93,0.856,0.802,0.596904149
100,0.938,0.885,0.813,0.661058655
120,0.96,0.917,0.867,0.730546495
140,0.987,0.963,0.923,
160,,1,0.979,
